City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,nadi,-17.8,177.4167,31.0,62,20,5.66,FJ,1731535573
237,suva,-18.1416,178.4415,28.71,79,75,4.63,FJ,1731535610
238,puerto aysen,-45.4,-72.7,12.63,97,88,2.59,CL,1731535796
239,muynoq,43.7683,59.0214,1.57,49,9,2.38,UZ,1731535797
240,sao gabriel da cachoeira,-0.1303,-67.0892,25.39,88,98,1.54,BR,1731535798
241,margate,51.3813,1.3862,8.16,86,100,4.08,GB,1731535799
242,kasongo-lunda,-6.4667,16.8167,22.34,90,91,0.77,CD,1731535800
243,kayangel,8.0823,134.7173,28.71,73,62,2.73,PW,1731535801
244,hirara,24.8,125.2833,27.02,83,9,7.54,JP,1731535803
245,lazaro cardenas,17.9583,-102.2,28.37,72,69,4.08,MX,1731535804
246,thanesar,29.9833,76.8167,18.41,43,1,1.91,IN,1731535805
247,les herbiers,46.8667,-1.0167,7.58,79,80,6.43,FR,1731535806
248,trzebiatow,54.0615,15.2648,3.25,91,100,5.19,PL,1731535807
249,al burayqah,30.4062,19.5739,20.62,43,100,5.37,LY,1731535809
250,ancud,-41.8697,-73.8203,12.35,93,100,3.05,CL,1731535810
251,akureyri,65.6835,-18.0878,3.56,85,38,6.15,IS,1731535811
252,lorengau,-2.0226,147.2712,27.62,81,99,2.29,PG,1731535812
253,aykhal,66.0,111.5,-29.49,100,100,3.58,RU,1731535813
254,thunder bay,48.4001,-89.3168,6.19,75,100,3.14,CA,1731535688
255,tual,-5.6667,132.75,28.5,76,100,3.59,ID,1731535815
256,riachao das neves,-11.7461,-44.91,21.37,95,65,2.59,BR,1731535816
257,iskateley,67.6803,53.1512,-0.99,96,100,6.44,RU,1731535671
258,keflavik,64.0049,-22.5624,6.24,93,100,7.2,IS,1731535818
259,chibougamau,49.9168,-74.3659,-2.07,62,74,3.75,CA,1731535819
260,betio village,1.358,172.9211,31.02,68,58,5.52,KI,1731535820
261,moranbah,-22.0016,148.0466,27.07,55,65,2.85,AU,1731535821
262,vorkuta,67.5,64.0,-25.63,100,79,2.36,RU,1731535822
263,sydney,-33.8679,151.2073,18.46,88,75,9.26,AU,1731535823
264,laguna,38.421,-121.4238,16.14,68,100,8.75,US,1731535824
265,turabah,21.2141,41.6331,20.45,24,0,2.89,SA,1731535825
266,sao raimundo nonato,-9.0153,-42.6994,27.22,61,99,1.18,BR,1731535826
267,swakopmund,-22.6833,14.5333,15.55,84,7,0.89,NA,1731535828
268,hithadhoo,-0.6,73.0833,28.09,76,100,5.47,MV,1731535829
269,guerrero negro,27.9769,-114.0611,24.37,31,0,4.29,MX,1731535830
270,yeppoon,-23.1333,150.7333,25.72,71,100,0.73,AU,1731535832
271,arraial do cabo,-22.9661,-42.0278,22.29,86,100,8.7,BR,1731535765
272,monrovia,6.3005,-10.7969,26.59,80,97,2.84,LR,1731535605
273,noumea,-22.2763,166.4572,29.44,99,74,2.37,NC,1731535835
274,carutapera,-1.195,-46.02,26.18,79,18,4.36,BR,1731535836
275,hengchun,22.0042,120.7439,26.04,81,93,7.24,TW,1731535610
276,menongue,-14.6585,17.691,18.68,75,31,0.86,AO,1731535838
277,severo-yeniseyskiy,60.3725,93.0408,-17.93,94,94,2.63,RU,1731535839
278,tyuratam,45.6507,63.3156,-1.19,67,24,3.42,KZ,1731535840
279,castuera,38.732,-5.5439,8.71,91,80,3.75,ES,1731535841
280,kapa'a,22.0752,-159.319,27.18,78,100,9.26,US,1731535843
281,charters towers,-20.1,146.2667,24.62,63,82,5.66,AU,1731535844
282,namibe,-15.1961,12.1522,25.19,67,95,5.23,AO,1731535845
283,saint-leu,-21.15,55.2833,23.48,97,69,1.09,RE,1731535846
284,hadithah,34.1397,42.3781,17.24,59,0,4.62,IQ,1731535847
285,bethanie,-26.4833,17.15,24.25,8,93,4.51,NA,1731535848
286,taroa,8.7058,171.2275,27.7,80,90,6.3,MH,1731535849
287,gergebil',42.5047,47.0661,4.97,70,7,0.87,RU,1731535850
288,spring creek,40.7266,-115.5859,11.01,25,100,3.59,US,1731535851
289,road town,18.4167,-64.6167,28.02,78,20,1.54,VG,1731535590
290,camana,-16.6228,-72.7111,19.81,76,66,1.56,PE,1731535812
291,neiafu,-18.65,-173.9833,27.38,74,75,5.14,TO,1731535854
292,champerico,14.3,-91.9167,28.53,72,98,3.11,GT,1731535855
293,agdam,39.991,46.9274,6.92,94,100,1.03,AZ,1731535856
294,angaur state,6.906,134.13,28.69,74,42,3.19,PW,1731535857
295,sorsk,54.0033,90.2467,-13.23,75,100,1.69,RU,1731535858
296,taksimo,56.3444,114.8794,-18.04,90,86,1.36,RU,1731535859
297,ponta delgada,37.7333,-25.6667,18.44,72,75,4.63,PT,1731535862
298,saldanha,-33.0117,17.9442,15.86,74,0,9.42,ZA,1731535863
299,dunedin,-45.8742,170.5036,15.45,86,100,1.34,NZ,1731535627
300,tobelo,1.7284,128.0095,27.78,79,53,2.04,ID,1731535865
301,lagoa santa,-19.6272,-43.8897,21.58,88,75,2.57,BR,1731535866
302,marsh harbour,26.5412,-77.0636,24.49,65,65,11.0,BS,1731535867
303,zungeru,9.8128,6.1558,28.78,36,75,1.87,NG,1731535652
304,ola,59.5833,151.2833,-16.05,76,69,5.73,RU,1731535869
305,port shepstone,-30.7414,30.455,18.86,73,100,6.63,ZA,1731535870
306,ansalta,42.6894,46.1178,3.9,61,8,2.31,RU,1731535871
307,pingdu,36.7844,119.9464,13.93,73,100,2.41,CN,1731535872
308,launceston,-41.45,147.1667,11.8,71,100,3.09,AU,1731535873
309,vilyuchinsk,52.9306,158.4028,-12.85,82,6,4.3,RU,1731535874
310,itoman,26.1247,127.6694,26.01,84,75,4.63,JP,1731535875
311,mata-utu,-13.2816,-176.1745,28.0,79,100,8.83,WF,1731535876
312,kodiak,57.79,-152.4072,4.73,60,0,7.2,US,1731535681
313,carauari,-4.8828,-66.8958,25.14,93,100,1.29,BR,1731535878
314,al hazm,16.1641,44.7769,18.73,21,96,0.18,YE,1731535768
315,westport,41.1415,-73.3579,8.34,33,0,3.6,US,1731535881
316,valparaiso,-33.0393,-71.6273,16.8,77,75,4.63,CL,1731535621
317,lerwick,60.1545,-1.1494,9.15,77,54,8.61,GB,1731535883
318,quepos,9.4236,-84.1652,23.71,97,100,0.69,CR,1731535884
319,qaqortoq,60.7167,-46.0333,-2.31,80,100,6.32,GL,1731535885
320,villa gesell,-37.2639,-56.973,16.77,68,62,6.27,AR,1731535886
321,bonthe,7.5264,-12.505,25.94,82,50,1.51,SL,1731535887
322,bechar,31.6167,-2.2167,18.57,36,58,6.23,DZ,1731535889
323,chernigovka,44.3389,132.5728,2.93,92,96,2.86,RU,1731535890
324,jumla,29.2747,82.1838,3.57,53,0,2.68,NP,1731535891
325,inari,68.906,27.0288,2.37,73,100,7.91,FI,1731535673
326,parkes,-33.1333,148.1833,20.24,59,0,3.28,AU,1731535893
327,fengxiang,47.5833,130.8333,-5.63,91,31,2.26,CN,1731535894
328,woodstock,43.1334,-80.7497,3.96,76,100,6.96,CA,1731535835
329,lima duarte,-21.8425,-43.7931,18.23,99,100,1.42,BR,1731535896
330,marshall,34.3834,-86.3333,19.86,61,100,4.92,US,1731535792
331,kill devil hills,36.0307,-75.676,13.32,63,100,5.14,US,1731535784
332,lamu,-2.2717,40.902,26.78,82,24,4.38,KE,1731535900
333,sandnessjoen,66.0217,12.6316,4.06,87,75,4.63,NO,1731535901
334,vanimo,-2.6741,141.3028,27.16,81,100,1.71,PG,1731535902
335,laojunmiao,39.8333,97.7333,3.66,39,32,2.99,CN,1731535903
336,sikasso,10.9167,-7.0,27.74,38,99,1.24,ML,1731535904
337,ust-nera,64.5667,143.2,-31.84,97,69,0.99,RU,1731535905
338,berdigestyakh,62.0989,126.6992,-16.57,98,100,0.63,RU,1731535906
339,giyani,-23.3025,30.7187,19.33,81,92,6.42,ZA,1731535907
340,salinopolis,-0.6136,-47.3561,26.91,81,1,6.06,BR,1731535850
341,pangody,65.85,74.4859,-22.62,100,99,2.77,RU,1731535909
342,magistral'nyy,56.1725,107.4458,-14.05,91,100,1.48,RU,1731535910
343,vila franca do campo,37.7167,-25.4333,18.27,99,7,2.88,PT,1731535911
344,smithers,54.7804,-127.1743,2.18,100,100,2.57,CA,1731535912
345,nizhneudinsk,54.9076,99.0276,-13.34,93,98,0.9,RU,1731535913
346,alofi,-19.0595,-169.9187,25.94,73,75,8.23,NU,1731535805
347,nabire,-3.3667,135.4833,25.1,89,99,1.17,ID,1731535915
348,puerto penasco,31.3167,-113.5333,26.99,41,0,2.57,MX,1731535916
349,kruisfontein,-34.0033,24.7314,14.24,76,97,2.19,ZA,1731535918
350,filingue,14.3521,3.3168,28.53,21,40,3.4,NE,1731535919
351,sadjoavato,-12.6334,49.349,21.05,84,92,1.21,MG,1731535920
352,virac,13.6333,124.2167,22.42,87,100,3.28,PH,1731535921
353,karasburg,-28.0167,18.75,22.83,13,28,4.62,NA,1731535922
354,egilsstadir,65.2653,-14.3948,5.95,61,46,5.14,IS,1731535923
355,medford,42.3265,-122.8756,8.85,88,100,4.12,US,1731535810
356,ghadamis,30.1337,9.5007,18.28,39,0,4.07,LY,1731535925
357,broken hill,-31.95,141.4333,16.49,44,5,6.21,AU,1731535926
358,nuku'alofa,-21.1333,-175.2,27.19,83,40,6.69,TO,1731535927
359,poronaysk,49.2167,143.1167,-2.7,58,99,2.59,RU,1731535928
360,ixtapa,20.7,-105.2,29.01,74,0,4.63,MX,1731535929
361,olyokminsk,60.3736,120.4264,-21.88,99,59,1.53,RU,1731535930
362,itapetinga,-15.2489,-40.2478,23.09,91,100,2.48,BR,1731535931
